city,state,latitude,longitude
Mill Creek,GA,31.82938,-81.62039
McDaniel,GA,34.50842,-84.63049
North Valley,GA,33.9965,-83.42405
Bethel (historical),AL,34.97731,-87.22779
Phinizy,GA,33.61041,-82.32624
Pine Valley,GA,31.08741,-83.47322
Pink,GA,34.59149,-83.7124
Retreat,GA,31.70299,-81.414
Reeds,GA,34.22705,-83.07765
Talmadge,GA,34.42426,-84.58743
Sapelo Island,GA,31.39745,-81.27871
Salem Branch,GA,33.57234,-83.98491
Sanford,GA,34.07872,-83.34821
Sand Hill,GA,30.98491,-83.65072
Smyrna,GA,33.59818,-83.40489
Stevens Creek,GA,33.56069,-82.05651
Tunis (historical),GA,33.50761,-84.19047
Union,GA,34.84508,-85.52496
Vista Brook,GA,34.2251,-83.89018
Vada,GA,31.0788,-84.41324
Vandiver,GA,34.40121,-83.25238
Westoak,GA,33.98788,-84.5316
Clements,IL,39.61894,-90.15095
Dennison,IL,39.46087,-87.5978
Long Branch,IL,37.88505,-88.57728
Graney,IL,38.83366,-89.91371
LaPlace,IL,39.80004,-88.71757
Homberg,IL,37.32533,-88.55199
Julien Hill,IL,37.47505,-88.47865
Horton,IL,39.57199,-91.04347
Markham,IL,39.74588,-90.3279
Rardin,IL,39.6042,-88.10171
Gerlane,KS,37.15252,-98.5498
Cross Plains,IN,38.94395,-85.20468
Aurora,IN,39.057,-84.90134
Cofield Corner,IN,38.95284,-84.95856
Cantaloupe,IN,38.53144,-87.51947
Curryville,IN,39.18699,-87.39252
Hiser,IN,39.81505,-85.07774
Lanam,IN,39.23366,-86.32749
Johnsburg,IN,38.21783,-86.95555
Waynesburg,IN,39.21116,-85.66942
Sand Ridge,IN,37.90255,-87.16861
Penntown,IN,39.27005,-85.09746
New Pekin,IN,38.50506,-86.01692
Saint Joseph,IN,38.40007,-85.8083
Portland Mills,IN,39.7781,-87.00918
Rome,IN,37.92339,-86.52359
Terre Town,IN,39.51754,-87.3753
Slatecut,IN,38.4484,-85.7658
Solsberry,IN,39.08338,-86.75611
Valley City,IN,38.09396,-86.22275
Troy,IN,37.99533,-86.79777
Belleview (historical),KS,37.79641,-96.45418
Cora,KS,39.89279,-98.66368
Belcamp,MD,39.469,-76.23329
Fairview,KY,36.84338,-87.30389
Idana,KS,39.3575,-97.26419
Milo,KS,39.17223,-97.96754
Severance,KS,39.76722,-95.24998
Prairie View,KS,39.83251,-99.57261
Osgood,KS,38.65779,-99.84429
Radley,KS,37.48449,-94.76024
South Radley,KS,37.47144,-94.76024
Stockton,KS,39.43807,-99.2651
Wilder,KS,39.04306,-94.86969
West Shore,KS,39.18889,-95.4772
Woodruff,KS,39.99279,-99.42649
Bethel Grove,AL,32.62791,-86.84999
Adaburg,KY,37.59172,-86.84777
Exie,KY,37.15978,-85.5358
Chaplin,KY,37.89784,-85.22134
Broeck Pointe,KY,38.29563,-85.58607
Bee Lick,KY,37.32869,-84.50272
Beech Grove,KY,38.3073,-82.92683
Betsey,KY,36.90369,-84.743
Canyon Falls,KY,37.57648,-83.57741
Cranetown,KY,38.2773,-84.53078
Chenoa,KY,36.66925,-83.86159
Colo,KY,37.04564,-84.48383
Deane,KY,37.23871,-82.77321
Creech,KY,36.76731,-83.39491
Dwarf,KY,37.3351,-83.13128
Grassy Creek,KY,37.86703,-83.34518
Gaskill,KY,37.1851,-82.61099
Grandview,KY,37.70116,-86.93027
Gertrude,KY,38.73952,-84.05465
Heenon,KY,37.66677,-82.48987
Indian Hills,KY,37.0345,-88.0578
Horse Branch,KY,37.45588,-86.67665
Ingram,KY,36.73036,-83.79825
Kimper,KY,37.49705,-82.35042
Little Zion,KY,37.54449,-87.72335
Lilac,KY,37.54894,-86.34414
Roff,KY,37.66034,-86.42303
Manuel,KY,37.35065,-83.30462
Lot,KY,36.60091,-84.08771
Mary Alice,KY,36.78425,-83.3299
Mattoxtown,KY,38.1273,-84.45022
Bethleham (historical),AL,33.04818,-85.76357
Bethlehem,AL,33.98204,-86.26609
Paducah,KY,37.08339,-88.60005
No Creek,KY,37.4806,-86.95833
Patsey,KY,37.71175,-83.7977
Pence,KY,37.63398,-83.47407
Pine Grove,KY,37.06564,-84.10215
Prosperity,KY,37.32172,-86.31748
Reeds Crossing,KY,37.73925,-84.22243
Leton,LA,32.86014,-93.25267
Stricklett,KY,38.48452,-83.38741
Shearer Valley,KY,36.75118,-84.9205
Smith Town,KY,36.70341,-84.50549
Bellevue,LA,32.6732,-93.52212
Wilson,KY,37.7806,-87.65807
Wheel,KY,36.85561,-88.80367
Winslow,KY,38.45369,-82.68183
Ashridge (historical),LA,31.06823,-91.6304
Woodstock,KY,37.26147,-84.51661
Afton,LA,32.24487,-91.1915
Colt,LA,30.30186,-89.8334
Carson,LA,30.75464,-93.31322
Cravens,LA,30.96686,-93.03516
Comrade,LA,31.32184,-92.96432
Donner,LA,29.69576,-90.94426
Dixie Inn,LA,32.59515,-93.3385
Harbor,LA,30.18687,-93.12071
Ellsworth,LA,29.67327,-90.81509
Gandy,LA,31.40268,-93.44767
Greenlaw,LA,30.98435,-90.48482
Asbury Woods,MD,39.14705,-76.81775
New Light,LA,32.26126,-91.78374
Merlin,LA,30.38853,-91.28983
Manchester,LA,30.19437,-93.0971
Nero,LA,29.6116,-89.8684
Morrow,LA,30.82992,-92.08012
Monticello,LA,32.59653,-91.394
Neal Landing,LA,30.37297,-90.64731
Mount Olive,LA,32.55515,-92.65932
Nugent,LA,31.44101,-92.42125
Pine Ridge,LA,32.12044,-92.89599
Redich,LA,30.41631,-92.56458
Red Chute,LA,32.55598,-93.61323
Swindleville,LA,32.78931,-93.72073
Sun,LA,30.64908,-89.89257
Upco,LA,32.76458,-92.13569
Twelve Cedars,LA,29.80882,-90.80065
Bethsaida,AL,34.5537,-87.55669
Whitford,LA,31.83267,-92.72515
Milltown,MS,32.64042,-90.02508
Halleck,MO,39.57805,-94.8208
Braddock,MD,39.42094,-77.47693
Betta-Life,AL,33.80566,-85.76941
Bush Creek Estates,MD,39.36538,-77.27609
Corner House,MD,39.3951,-77.59082
Clayton,MD,39.45039,-76.35468
College Park Woods,MD,39.00872,-76.95109
Cloisters,MD,39.38705,-76.62636
Cohill Estates,MD,39.70009,-78.20806
Dasher Green,MD,39.19038,-76.84942
Crawford Acres (historical),MD,39.4065,-75.883
Dennings,MD,39.49177,-77.0722
Beulah,AL,31.22906,-86.23245
Fitzell,MD,39.23344,-76.46357
Ernstville,MD,39.63287,-78.02667
Emmorton,MD,39.49539,-76.32274
Fairview,MD,39.71232,-77.84305
Sewell Mills,MD,38.9965,-75.7791
Millwood,MD,39.66732,-76.84998
Hallmark Estates,MD,38.61762,-76.64135
Jessup,MD,39.14927,-76.77525
Hudson Corner,MD,38.05318,-75.70854
Manokin,MD,38.38234,-75.6177
McCoole,MD,39.44648,-78.97225
Marion,MD,38.03929,-75.77076
New Germany,MD,39.63259,-79.12225
Polk Landing,MD,38.26512,-75.72048
Rockawalking Estates,MD,38.36401,-75.67715
Woodbine,MD,39.35983,-77.06248
Weldon,MD,39.47871,-77.11776
Thomas Manor,MD,38.47096,-76.89775
Westlake,MD,38.38762,-75.59881
Wesley,MD,38.34707,-76.08327
Wesley Woods,MD,39.46955,-76.41218
Whitehurst,MD,39.08261,-76.52663
White Hall,MD,39.58761,-75.83827
Benson,MO,39.89753,-92.85853
Amoret,MO,38.2553,-94.58773
Abo,MO,37.69782,-92.46517
Basher,MO,36.99672,-92.606
Beulah Land,AL,34.6887,-87.0014
Bentonville,MO,38.10058,-93.44909
Bevelle,AL,32.92596,-85.93885
Brent,MO,36.36423,-89.73564
Beverley Heights,AL,33.20429,-87.51778
Beverly Station,AL,33.484,-86.85332
Bryant,MO,37.03894,-92.61072
Buck Donic,MO,36.03979,-90.32593
Center Point,MO,36.91784,-94.08188
Chandler,MO,39.30028,-94.38273
Cowgill,MO,39.55918,-93.92688
Gordonville,MO,37.31116,-89.67926
East End,MO,37.67532,-91.03374
Eunice,MO,37.24505,-91.77959
Mill Creek,MS,30.67075,-89.70257
Middle Grove,MO,39.39504,-92.27046
Bibb Mill,AL,32.94735,-86.91027
